date,item_id,qnty
2019-11-14,100417,1.0
2019-11-14,100418,1.0
2019-11-14,100448,5.0
2019-11-14,100450,2.0
2019-11-14,100454,3.0
2019-11-14,100462,2.0
2019-11-14,100469,6.0
2019-11-14,100470,8.0
2019-11-14,100346,40.0
2019-11-14,100176,3.0
2019-11-14,100354,19.0
2019-11-14,100473,5.0
2019-11-14,100510,8.0
2019-11-14,100165,33.0
2019-11-14,100035,11.0
2019-11-14,100668,1.0
2019-11-14,100691,4.0
2019-11-14,100487,9.0
2019-11-14,100516,157.0
2019-11-14,100525,3.0
2019-11-14,100526,3.0
2019-11-14,100530,3.0
2019-11-14,100545,1.0
2019-11-14,100547,2.0
2019-11-14,100591,2.0
2019-11-14,11200,345.0
2019-11-14,100528,3.0
2019-11-14,100604,5.0
2019-11-14,100601,5.0
2019-11-14,100651,1.0
2019-11-14,100650,13.0
2019-11-14,100645,3.0
2019-11-14,100639,6.0
2019-11-14,100638,6.0
2019-11-14,100602,1.0
2019-11-14,100613,3.0
2019-11-14,100612,10.0
2019-11-14,100611,16.0
2019-11-14,100607,3.0
2019-11-14,100614,4.0
2019-11-15,100346,70.0
2019-11-15,100354,21.0
2019-11-15,100370,9.0
2019-11-15,100386,5.0
2019-11-15,100417,1.0
2019-11-15,100453,1.0
